"filename", "language", "HTML", "JSON", "JavaScript", "Markdown", "SVG", "YAML", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"d:\www\DNIAS\DNIAS_2025\README.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 0, 0, 6, 13
"d:\www\DNIAS\DNIAS_2025\eslint.config.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"d:\www\DNIAS\DNIAS_2025\index.html", "HTML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\www\DNIAS\DNIAS_2025\package.json", "JSON", 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 50
"d:\www\DNIAS\DNIAS_2025\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 3540, 0, 0, 0, 938, 4478
"d:\www\DNIAS\DNIAS_2025\public\vite.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\www\DNIAS\DNIAS_2025\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"d:\www\DNIAS\DNIAS_2025\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 6, 51
"d:\www\DNIAS\DNIAS_2025\src\Components\ColumnsData\Options.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 184, 0, 12, 14, 210
"d:\www\DNIAS\DNIAS_2025\src\Components\Context\DataProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 10, 3, 49
"d:\www\DNIAS\DNIAS_2025\src\Components\Context\FormularioProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 809, 0, 54, 11, 874
"d:\www\DNIAS\DNIAS_2025\src\Components\Context\LoginProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 192, 0, 21, 5, 218
"d:\www\DNIAS\DNIAS_2025\src\Components\Context\UserProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 240, 0, 70, 6, 316
"d:\www\DNIAS\DNIAS_2025\src\Components\Context\UtilsProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 11, 7, 91
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\Administrador\ActualizacionAnual.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 1, 5, 46
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\Administrador\ActualizacionAnual\EnCaptura.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 140, 0, 63, 5, 208
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\Administrador\ActualizacionAnual\EnRevision.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 93, 0, 62, 7, 162
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\Administrador\ActualizacionAnual\EnVerificar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 62, 6, 156
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\Administrador\ActualizacionAnual\PorAdministrador.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 62, 7, 163
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\Administrador\PreRegistro.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 1, 5, 46
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\Administrador\PreRegistro\EnCaptura.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 104, 0, 3, 3, 110
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\Administrador\PreRegistro\EnRevision.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 104, 0, 62, 5, 171
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\Administrador\PreRegistro\EnVerificar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 63, 6, 191
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\Administrador\PreRegistro\PorAdministrador.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 62, 6, 190
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\Administrador\TableroAdmin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\Administrador\Tablero\Tablero.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 53, 6, 202
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\EnlaceEstatal\ActualizacionAnualEnlace.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 1, 3, 44
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\EnlaceEstatal\PreregistroEnlace.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 1, 3, 44
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\EnlaceEstatal\TableroEnlace.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\Institucion\InstitucionCentros.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 195, 0, 8, 8, 211
"d:\www\DNIAS\DNIAS_2025\src\Components\DataTables\Verificador\TableroVerificador.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"d:\www\DNIAS\DNIAS_2025\src\Components\FormsOther\ButtonSave.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 93, 0, 2, 3, 98
